,Gene,IEI_Interactor
9260,NUP62CL,KRAS
9261,TYR,KRAS
9262,CD96,KRAS
9263,414060,"KRAS, KRAS, RIT1"
9264,ZNF726,KRAS
9265,UXT,"KRAS, KRAS, OFD1, POLR3A, RIT1, RUNX1, RUNX1, RUNX1"
9266,MAT1A,"KRAS, MVK"
9267,157848,KRAS
9268,MOB3C,"KRAS, TNIP1"
9269,TMC1,KRAS
9270,COX7B,KRAS
9271,SOD1,"KRAS, KRAS, RIT1"
9272,PARPBP,"KRAS, RAD51"
9273,MVB12B,KRAS
9274,TXNRD2,"KRAS, PSEN1, TRAP1, TYK2"
9275,NRXN3,KRAS
9276,C5orf22,"KRAS, RECQL4, SP110, TP63"
9277,102157402,"KRAS, KRAS, UNC93B1"
9278,PAM,"KRAS, TAFAZZIN, TAFAZZIN, TAFAZZIN"
9279,124976,KRAS
9280,SMG6,"KRAS, PSENEN"
9281,WARS2,KRAS
9282,NGB,"KRAS, PTEN, REL, REL"
9283,ZNF85,KRAS
9284,OXR1,"KRAS, LIG4, LIG4"
9285,RASL10A,KRAS
9286,ANAPC2,"KRAS, KRAS, PRKDC, RECQL4, RIT1, TP63, TP63"
9287,5222,KRAS
9288,284443,KRAS
9289,CDIPT,"KRAS, KRAS, MAD2L2, NOS2, RIT1, TP53, UNC93B1"
9290,64409,KRAS
9291,USP50,KRAS
9292,THG1L,"KRAS, KRAS, RIT1, TRAP1"
9293,KIN,"KRAS, RRAS"
9294,NUDT9,"KRAS, SLC2A2, SLC39A7"
9295,DPAGT1,"KRAS, KRAS, RIT1"
9296,TRAPPC1,"KRAS, KRAS, RIT1"
9297,9340,KRAS
9298,VASH1,KRAS
9299,ZBTB12,KRAS
9300,64743,KRAS
9301,CLEC11A,KRAS
9302,SULT1C3,KRAS
9303,FKBPL,"KRAS, RBCK1"
9304,TVP23A,KRAS
9305,PLP2,"KRAS, LACC1, LACC1, RPL11"
9306,CYCS,"KRAS, KRAS, RAC1, RPS28"
9307,ABHD5,KRAS
9308,SLAMF8,KRAS
9309,SEMA3C,"KRAS, TP63"
9310,EEFSEC,"KRAS, KRAS, PTEN, RIT1, RPL9, TERF2"
9311,ATP6V0D2,"KRAS, TCIRG1"
9312,WDR47,"KRAS, TP53"
9313,MVD,"KRAS, KRAS, PEPD"
9314,NOL4,KRAS
9315,401207,KRAS
9316,DNAJC17,"KRAS, KRAS, MTHFD1, PLA2G4A, RIT1"
9317,PRPF4,"KRAS, KRAS, LYN, RECQL4, RIT1, RPS19, SART3, SART3, SART3, TRADD"
9318,ANAPC11,"KRAS, KRAS, RELA, RIT1"
9319,CFAP20,"KRAS, KRAS, RIT1, TP63, UBR5"
9320,UBE2H,"KRAS, RAG1, RAG1, RIT1, UBA1, UBA1, UBA1"
9321,PAPPA2,KRAS
9322,CIBAR2,KRAS
9323,INMT,KRAS
9324,TAS2R5,KRAS
9325,AP4S1,KRAS
9326,120376,KRAS
9327,284428,KRAS
9328,CRLS1,"KRAS, KRAS"
9329,HINFP,"KRAS, KRAS, RIT1"
9330,BRF2,"KRAS, KRAS"
9331,GLE1,"KRAS, RPL11, RPL19, RPL36, RPS10, RPS19"
9332,ULBP1,KRAS
9333,HTRA3,"KRAS, XIAP, XIAP, XIAP"
9334,NAT1,KRAS
9335,HGF,KRAS
9336,WDR25,"KRAS, KRAS, RIT1"
9337,UTP6,"KRAS, KRAS, RIT1, TNFRSF1A, TNFRSF1A"
9338,MAGEB1,KRAS
9339,ZCCHC14,"KRAS, KRAS, RIT1, SMAD3, TET2"
9340,RBFOX1,KRAS
9341,55153,"KRAS, KRAS, RBM8A, RC3H1, RECQL4, RIT1, RPL11, RPL11, RPL15, RPL36, RPL5, RPS10, RPS14, RPS14, RPS19, RPS24, SRP72"
9342,112703,"KRAS, PTPN11"
9343,ENY2,"KRAS, PALB2"
9344,NOG,KRAS
9345,MECR,KRAS
9346,RPS6KA5,KRAS
9347,PITPNM3,KRAS
9348,UQCR11,KRAS
9349,RDH8,KRAS
9350,100287478,KRAS
9351,100287205,KRAS
9352,100287404,KRAS
9353,TANGO6,"KRAS, KRAS, RIT1"
9354,ORC3,"KRAS, KRAS, MAD2L2, MAD2L2, MCM10, MCM4, RECQL4, RIT1, RPGR, RPGR, STN1, STN1, STN1, TERF2, TERF2IP, TP53"
9355,IGFBP3,"KRAS, PLG, PLG"
9356,CARMIL2,"KRAS, NRAS, RAC1, RHOG"
9357,CEP89,"KRAS, KRT8, LCK, LYN, MYH9, RAC1, RHOG"
9358,26504,"KRAS, UNC93B1"
9359,DGKD,KRAS
9360,DOCK1,"KRAS, RAC1, RAC1, RAC2, RAC2, RHOG, RHOG, VSIG4"
9361,ERICH5,"KRAS, RPS27"
9362,FAM171B,"KRAS, LCK, LYN, RAC1, RHOG, RHOH"
9363,FARP2,"KRAS, LYN, NRAS, RPS19, TP53, VAV1"
9364,ILDR2,"KRAS, LYN"
9365,KCNB2,"KRAS, LYN, RHOH"
9366,KIAA0040,KRAS
9367,MAP4K5,"KRAS, LYN, RAC1"
9368,OSBPL6,KRAS
9369,5151,"KRAS, LYN, RAC1, RAC2, UNC119, UNC119, UNC119"
9370,RFTN1,"KRAS, LYN, PTEN, UNC119, UNC119, UNC119"
9371,RPGR,KRAS
9372,RRAGD,"KRAS, LAMTOR2, LAMTOR2, RHOG, TBK1"
9373,SLCO3A1,"KRAS, RAC1, RAC2, RHOG"
9374,123036,KRAS
9375,USP31,"KRAS, LYN"
9376,ZFYVE9,"KRAS, SMAD3, SMAD3, SMAD3, SMAD3, SMAD3, SMAD3, SMAD3, SMAD3, TFRC, TFRC"
9377,SYNJ1,"KRAS, KRT8, LCK, SH3KBP1, SH3KBP1, SH3KBP1"
9378,ZFYVE16,"KRAS, RAC1, RAC2, RECQL4, RHOG, TFRC, TFRC, TP53"
9379,ADIPOR1,"KRAS, RAC1"
9380,AGAP1,"KRAS, NF1, NRAS, SRC"
9381,CABLES1,"KRAS, LCK, RAC1, RAC2, RHOH, TP53"
9382,CSNK1G2,"KRAS, NRAS, SMAD3"
9383,EEPD1,"KRAS, NCSTN, NCSTN"
9384,FAM219A,KRAS
9385,CIBAR1,KRAS
9386,GPRIN3,"KRAS, LCK, LYN, RET"
9387,94030,KRAS
9388,9848,KRAS
9389,NLGN1,"KRAS, TRADD"
9390,PLCL2,"KRAS, PPP1CB"
9391,401399,KRAS
9392,RHBDF2,"KRAS, NRAS, PDCD1, PDCD1, TGFBR2, VSIG4"
9393,221935,KRAS
9394,SEMA6D,"KRAS, RAC1"
9395,SLC30A4,KRAS
9396,8671,KRAS
9397,SNAP25,"KRAS, STX3, STX3"
9398,286749,KRAS
9399,TBC1D9,KRAS
9400,8633,KRAS
9401,UPF3B,"KRAS, LYN, RBM8A, RBM8A, RC3H1, RPS24"
9402,OCRL,"KRAS, LCK, RHOH, SPINT2, TP53, VSIG4"
9403,94115,"KRAS, RIT1"
9404,CHURC1-FNTB,"KRAS, RIT1"
9405,ALG13,"KRAS, KRT8, RIT1"
9406,644974,"KRAS, RIT1"
9407,AMD1,"KRAS, RIT1"
9408,277,"KRAS, RIT1"
9409,CGB5,"KRAS, RIT1"
9410,CGB1,"KRAS, RIT1"
9411,ZNG1E,"KRAS, RIT1"
9412,ATP6V1F,"KRAS, RAC2, RHOG, RIT1, TCIRG1, UBR5"
9413,ANKRD49,"KRAS, RIT1"
9414,AP2S1,"KRAS, RECQL4, RIT1"
9415,COA5,"KRAS, RIT1, TP63"
9416,ATP6V0B,"KRAS, RIT1"
9417,COA6,"KRAS, RIT1"
9418,CARS1,"KRAS, PSTPIP1, RIT1, SBDS"
9419,INTS15,"KRAS, RIT1"
9420,CENATAC,"KRAS, RIT1"
9421,GNB1L,"KRAS, RIT1"
9422,60625,"KRAS, NEUROG3, NEUROG3, RIT1, USB1, USB1, USB1"
9423,GFER,"KRAS, RIT1, TP63"
9424,DHX37,"KRAS, MAD2L2, MAD2L2, RC3H1, RIT1, RPS10, RPS24, TERF2"
9425,CRCP,"KRAS, POLR3A, POLR3A, POLR3A, POLR3A, POLR3C, POLR3C, POLR3F, RIT1"
9426,DPH2,"KRAS, RIT1"
9427,283767,"KRAS, RIT1"
9428,PRELID3B,"KRAS, RIT1"
9429,DOHH,"KRAS, RIT1"
9430,DHX33,"KRAS, LYN, RIT1, RPL10, RPS24, TERF2"
9431,DHX8,"KRAS, RIT1, RPL19, RPL36, SMAD3, TERF2IP"
9432,GPN2,"KRAS, RIT1"
9433,GTF2A2,"KRAS, PTPN11, RIT1, TERF2"
9434,100529241,"KRAS, RIT1"
9435,INTS10,"KRAS, RIT1, RUNX1"
9436,INTS6,"KRAS, RIT1"
9437,INTS9,"KRAS, RECQL4, RIT1, RUNX1, TERF2IP"
9438,ISCA1,"KRAS, RIT1"
9439,ISY1-RAB43,"KRAS, RIT1"
9440,112970,"KRAS, RIT1"
9441,100507462,"KRAS, RIT1"
9442,INTS14,"KRAS, RIT1"
9443,LENG8,"KRAS, RIT1, TNIP1"
9444,387787,"KRAS, RIT1"
9445,9884,"KRAS, RIT1"
9446,374819,"KRAS, RIT1"
9447,LSM6,"KRAS, RECQL4, RIT1, SART3, SART3, SART3"
9448,LSM7,"KRAS, RECQL4, RIT1, SART3, SART3, SART3"
9449,MED28,"KRAS, RIT1"
9450,METAP1,"KRAS, RIT1"
9451,METTL14,"KRAS, RIT1"
9452,METTL16,"KRAS, PTEN, RIT1"
9453,METTL3,"KRAS, MAPK8, RIT1, TERF2IP"
9454,MFN2,"KRAS, RIT1, SLC25A38"
9455,MOB4,"KRAS, RIT1, STK4, TNFRSF1A, TNFRSF1A"
9456,MRPS12,"KRAS, MAD2L2, RIT1, RNF31, RPL10, TP63"
9457,MVK,"KRAS, MVK, MVK, MVK, MVK, MVK, POT1, PPP1CB, RIT1, TRNT1"
9458,25832,"KRAS, RIT1"
9459,NBPF15,"KRAS, RIT1"
9460,4820,"KRAS, RIT1, RPL15, RPL36, RPS14, RPS14"
9461,NPIPB6,"KRAS, RIT1"
9462,NR2C2AP,"KRAS, REL, REL, RIT1"
9463,NRBP1,"KRAS, MAP2K2, RIT1"
9464,PDCD7,"KRAS, ODAD1, RIT1, RPL10"
9465,100303755,"KRAS, RIT1, TP63"
9466,PFDN2,"KRAS, POLR3A, RECQL4, RFWD3, RIT1, SKIC2"
9467,9489,"KRAS, RIT1"
9468,PMPCA,"KRAS, RECQL4, RHOG, RIT1, SKIC2, TP63"
9469,PMPCB,"KRAS, MYH9, RECQL4, RHOG, RIT1, SBF2"
9470,POLA2,"KRAS, POLD2, RAC1, RAC1, RIT1, STN1, STN1, TERF2IP"
9471,POLG2,"KRAS, RIT1"
9472,POLR2F,"KRAS, MPLKIP, POLR3A, POLR3F, PSMB9, RIT1, SRC"
9473,POLR3H,"KRAS, POLR3A, POLR3A, POLR3A, POLR3A, POLR3C, POLR3C, POLR3C, POLR3F, POLR3F, RIT1"
9474,POLR3K,"KRAS, POLR3A, POLR3A, POLR3A, POLR3C, POLR3F, POLR3F, RIT1"
9475,POP5,"KRAS, PDCD1, PDCD1, REL, RIT1"
9476,PPCDC,"KRAS, RIT1"
9477,730262,"KRAS, RIT1"
9478,PPIAL4G,"KRAS, RIT1"
9479,PPP1R11,"KRAS, PPP1CB, PPP1CB, PPP1CB, PPP1CB, PPP1CB, PPP1CB, RIT1"
9480,PPRC1,"KRAS, PRKCD, RIT1"
9481,PPWD1,"KRAS, RIT1, TP53"
9482,PRELID1,"KRAS, RIT1, TNFRSF1A"
9483,PSMG2,"KRAS, POMP, POMP, PSMA3, PSMB4, PSMB4, PSMB4, PSMB8, PSMB9, PSMB9, RIT1"
9484,PSMG3,"KRAS, PSMB9, PSMB9, PSMB9, PSMB9, PSMG2, PSMG2, PSMG2, PSMG2, RIT1, RPL35A, STAT3"
9485,118672,"KRAS, RIT1"
9486,PTP4A2,"KRAS, RIT1"
9487,PYROXD1,"KRAS, RIT1"
9488,RABGGTB,"KRAS, RIT1"
9489,RBM19,"KRAS, RC3H1, RIT1, RPL18, RPS14, RPS24"
9490,100526842,"KRAS, RIT1"
9491,RPL39,"KRAS, RIT1, RNF31, RPL11, RPL19, RPL35A, RPL5, RPL9"
9492,RPP21,"KRAS, RIT1"
9493,RPP30,"KRAS, MAD2L2, PTEN, RECQL4, RIT1"
9494,100529239,"KRAS, RIT1"
9495,RRN3,"KRAS, RIT1"
9496,RTEL1,"KRAS, NEUROG3, NEUROG3, OSTM1, PDCD1, RFXANK, RIT1, SLX4, SLX4, SLX4, SLX4, SLX4"
9497,SARS2,"KRAS, MTHFD1, RECQL4, RIT1"
9498,SDE2,"KRAS, RBM8A, RIT1, TERF2IP"
9499,22928,"KRAS, RBM8A, RIT1"
9500,SF3B5,"KRAS, RIT1, RPSA, VAV1"
9501,SKA2,"KRAS, RIT1"
9502,SNRNP25,"KRAS, REL, RIT1"
9503,SNRNP40,"KRAS, NPC1, RC3H1, RIT1"
9504,441273,"KRAS, RIT1"
9505,SPOUT1,"KRAS, RIT1, UBR5"
9506,STARD7,"KRAS, RIT1"
9507,SYS1,"KRAS, RIT1"
9508,TAF1C,"KRAS, NAF1, RIT1, RPL11, RPL15, RPL36, RPS14, TP53, TP53, TTR"
9509,TBC1D3B,"KRAS, RIT1"
9510,101060389,"KRAS, RIT1"
9511,729877,"KRAS, RIT1"
9512,101060351,"KRAS, RIT1"
9513,TBCC,"KRAS, RIT1"
9514,TGIF1,"KRAS, RIT1, SMAD3"
9515,TICRR,"KRAS, RIT1"
9516,TIMM10,"KRAS, RIT1"
9517,TPK1,"KRAS, PTEN, RIT1"
9518,TRAPPC11,"KRAS, KRT8, MOGS, RIT1, SEC23B, TP53, TP63"
9519,TRAPPC3,"KRAS, LIG4, LIG4, RECQL4, RIT1"
9520,TSR2,"KRAS, RIT1, RPS26, RPS26, RPS26"
9521,UBA3,"KRAS, RIT1, SAR1B"
9522,UBE2F,"KRAS, RC3H1, RIT1"
9523,UFC1,"KRAS, RIT1, SAR1B"
9524,UROD,"KRAS, RIT1"
9525,USPL1,"KRAS, RIT1"
9526,VPS25,"KRAS, REL, RIT1"
9527,VPS28,"KRAS, RIT1, TNIP1"
9528,WDR70,"KRAS, RASA2, RIT1, TERF2IP"
9529,79693,"KRAS, RIT1"
9530,ZC3H8,"KRAS, NLRP3, RECQL4, RIT1, RPS19"
9531,ZCRB1,"KRAS, RIT1, RPL19, RPS19, RPSA"
9532,ZNF626,"KRAS, RIT1"
9533,ZRSR2,"KRAS, RIT1, TP53"
9534,81794,KRAS
9535,ADSS2,"KRAS, TGFB1"
9536,642517,KRAS
9537,ATP5MC3,KRAS
9538,C18orf21,"KRAS, RPS24, TP53"
9539,150590,KRAS
9540,CCDC140,"KRAS, RAD51C"
9541,CCDC141,KRAS
9542,CCDC174,"KRAS, RNF168"
9543,CD300LG,KRAS
9544,CDAN1,KRAS
9545,CENPL,"KRAS, PTEN"
9546,118491,KRAS
9547,CHAC1,KRAS
9548,728082,KRAS
9549,EXOC3L2,KRAS
9550,FAM157B,KRAS
9551,FBXO11,"KRAS, MBL2, STAT2, STAT2, TNFRSF1A, TNFRSF1A, TP53, TP53, TP53"
9552,FOXN1,KRAS
9553,GFM2,"KRAS, TP53"
9554,643699,KRAS
9555,GTF2F2,"KRAS, PSENEN, UBR5"
9556,IL27RA,KRAS
9557,KLK14,KRAS
9558,728279,KRAS
9559,474354,"KRAS, ZBTB24"
9560,MBNL1,"KRAS, RFWD3"
9561,MED18,KRAS
9562,MED22,"KRAS, TP53"
9563,MOGAT1,KRAS
9564,MTBP,KRAS
9565,NAA38,KRAS
9566,NBPF11,KRAS
9567,400818,KRAS
9568,NEUROG3,"KRAS, REL"
9569,NSMCE4A,"KRAS, NSMCE3, NSMCE3, NSMCE3, NSMCE3, NSMCE3, ODAD3, ODAD3, ODAD3, RPL15"
9570,OR4F21,KRAS
9571,ORC1,"KRAS, MCM4, RFWD3, TERF2, TERF2, TP53"
9572,50940,KRAS
9573,PFDN1,"KRAS, MSN, PUS1, RFWD3, RPL10, SKIC2"
9574,POLR3D,"KRAS, POLR3A, POLR3A, POLR3A, POLR3C, POLR3F, POLR3F, RECQL4"
9575,RNPC3,KRAS
9576,RRP7A,"KRAS, NCSTN, RANBP2, RPL18, RPL9, RPS10, RPS24"
9577,RSPH6A,KRAS
9578,SCAF1,"KRAS, RPL10, RPL19, RPL36, RPS10"
9579,SDHAF2,KRAS
9580,SLC17A7,KRAS
9581,SLC38A7,KRAS
9582,SMG5,"KRAS, RBM8A, TP53"
9583,SNAPC3,KRAS
9584,727830,"KRAS, RELA"
9585,SPDYE2B,KRAS
9586,SRBD1,"KRAS, RC3H1, SART3"
9587,SRFBP1,"KRAS, RC3H1, RPS24"
9588,TAF1A,"KRAS, NAF1, RPL36, TP53"
9589,TBC1D3F,KRAS
9590,TMEM178A,KRAS
9591,TRAPPC8,"KRAS, KRAS"
9592,TTC14,KRAS
9593,USB1,KRAS
9594,728400,KRAS
9595,728405,KRAS
9596,VIRMA,"KRAS, PSENEN, TERF2"
9597,7543,KRAS
9598,ZMAT5,"KRAS, MLH1"
9599,ZNF492,KRAS
9600,7652,KRAS
9601,729092,KRAS
9602,AMY1A,KRAS
9603,ARFRP1,KRAS
9604,ARL17A,KRAS
9605,ARMC5,KRAS
9606,NOPCHAP1,"KRAS, SPAG1"
9607,CDC7,"KRAS, MCM4"
9608,CHMP3,KRAS
9609,CNOT2,"KRAS, NFKB1, RC3H1, RC3H1, RC3H1, RC3H1"
9610,CTU1,"KRAS, SPINT2"
9611,DDX59,"KRAS, TP63"
9612,DHDDS,KRAS
9613,ELP6,"KRAS, MLH1, PSMA3"
9614,EXOSC9,"KRAS, LYN, RECQL4, RPL5, TP53, ZCCHC8"
9615,FH,"KRAS, MAP2K1, PRKDC"
9616,LAGE3,"KRAS, RPSA"
9617,100144595,KRAS
9618,MBTPS1,"KRAS, SIAE, SIAE, TAFAZZIN, TAFAZZIN, TAFAZZIN"
9619,MED26,"KRAS, MASTL, RUNX1"
9620,MED31,"KRAS, NFKBIA"
9621,MIPEP,KRAS
9622,NME6,KRAS
9623,9284,KRAS
9624,642799,KRAS
9625,PDRG1,"KRAS, OFD1, POLR3A, PPP1CB, RPL10"
9626,100131801,KRAS
9627,PGP,"KRAS, LIG4, LIG4"
9628,PMF1-BGLAP,KRAS
9629,POLR2J3,KRAS
9630,POLR2K,"KRAS, POLR3A, POLR3A, POLR3C, POLR3F, PSMB9, SH3KBP1, SRC"
9631,POLR3E,"KRAS, POLR3A, POLR3A, POLR3A, POLR3A, POLR3A, POLR3C, POLR3C, POLR3F"
9632,PPIAL4C,KRAS
9633,PRIM2,"KRAS, NEUROG3, POLA1, POLA1, POLA1, RECQL4, RFXANK, RNF31, RNF31, STN1"
9634,57589,KRAS
9635,RPAIN,KRAS
9636,RPP14,KRAS
9637,SEC61G,"KRAS, RBM8A, RPL5, SEC61A1"
9638,SFSWAP,"KRAS, TERF2IP, UBR5"
9639,SLC25A26,KRAS
9640,SNRPG,"KRAS, RC3H1, SART3"
9641,SNUPN,KRAS
9642,SPC24,"KRAS, OFD1, OTUD6B"
9643,653550,KRAS
9644,TRAIP,"KRAS, SYK, SYK"
9645,TRIAP1,"KRAS, TP53"
9646,TRUB2,"KRAS, RHOG"
9647,TTC7A,"KRAS, PI4KA, UBR5"
9648,UPF2,"KRAS, POLD1, RBM8A, RBM8A, RBM8A, RBM8A, RBM8A, SMARCD2, TP63"
9649,URM1,KRAS
9650,WDR55,"KRAS, RC3H1, RPL19"
9651,YAE1,KRAS
9652,ZBTB8OS,KRAS
9653,119385,"KRAS, RIT1"
9654,CENPW,"KRAS, RIT1"
9655,CNOT3,"KRAS, RC3H1, RC3H1, RC3H1, RC3H1, RIT1"
9656,DCAF15,"KRAS, RIT1"
9657,DCPS,"KRAS, RIT1"
9658,ELOF1,"KRAS, RIT1"
9659,554282,"KRAS, RIT1"
9660,GALE,"KRAS, RIT1"
9661,653125,"KRAS, RIT1"
9662,INTS11,"KRAS, RIT1, RPL35A"
9663,81875,"KRAS, RIT1, RPL19, RPS24"
9664,LIPT1,"KRAS, RIT1"
9665,LRR1,"KRAS, RIT1, TNFRSF9, TNFRSF9, TP53"
9666,LSM10,"KRAS, RIT1"
9667,100288142,"KRAS, RIT1"
9668,NHLRC2,"KRAS, RIT1, TP53, TP63"
9669,OSTC,"KRAS, RIT1"
9670,OXCT2,"KRAS, RIT1"
9671,PARS2,"KRAS, RECQL4, RIT1"
9672,PLA2G10,"KRAS, RIT1"
9673,RIOK2,"KRAS, RECQL4, RELA, RIT1, TNFAIP3"
9674,RPEL1,"KRAS, RIT1"
9675,SENP8,"KRAS, RIT1"
9676,SS18L2,"KRAS, RAF1, RIT1, RTEL1, ZNFX1"
9677,TRIM43,"KRAS, RIT1"
9678,UBE2V1,"KRAS, POMP, RC3H1, RIT1, TRAF3IP2"
9679,CLN5,KRT8
9680,KRT38,"KRT8, KRT8"
9681,KRT28,KRT8
9682,KRT25,KRT8
9683,TTC33,"KRT8, SKIC2"
9684,GDPD4,KRT8
9685,ZNF704,KRT8
9686,341350,KRT8
9687,ZNF708,"KRT8, RPL36, TIMM50"
9688,NES,"KRT8, KRT8, TP63"
9689,DCDC1,KRT8
9690,4761,KRT8
9691,ZNF484,KRT8
9692,PHC3,"KRT8, LYN, TERF2IP"
9693,NLN,KRT8
9694,CCDC96,KRT8
9695,PEX5L,KRT8
9696,CAMSAP3,"KRT8, MAP2K1, NAF1, NCF2, NCF2, OFD1, RC3H1"
9697,343099,"KRT8, OFD1, OFD1"
9698,84318,"KRT8, OFD1"
9699,CCP110,"KRT8, NRAS"
9700,CDR2L,"KRT8, RPSA, RPSA, RPSA"
9701,CEP162,"KRT8, MYH9, PTEN"
9702,CNTROB,"KRT8, LYST, PTEN"
9703,GOLGA3,"KRT8, LCK, RNF31, RNF31, TBK1"
9704,HAUS7,"KRT8, OFD1"
9705,KIAA0753,"KRT8, OFD1, OFD1, PTPN22"
9706,KIF7,"KRT8, PTPN22, STX11, STX11, TNFAIP6"
9707,PDZRN3,"KRT8, OFD1, STX11, STX11"
9708,RPGRIP1L,"KRT8, MSH2, RPGR, RPGR, RPGR, RPGR, TP53"
9709,SMG7,"KRT8, RBM8A, RBM8A, RC3H1, STAT4, TP53, TP53, TP53"
9710,TBC1D31,"KRT8, OFD1, PTEN, PTPN22"
9711,TBKBP1,"KRT8, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1, TBK1"
9712,TTLL5,"KRT8, OFD1, TP53"
9713,CLASP1,"KRT8, RIT1"
9714,DVL1,"KRT8, MSH2, SMAD3"
9715,FAM193A,"KRT8, RC3H1"
9716,MIA3,"KRT8, SLC39A7, STIM1"
9717,RABEP1,"KRT8, OFD1, SH3KBP1, TP53"
9718,SCYL2,"KRT8, LZTR1, PTEN, RHOG, TFRC, TFRC, TP53, TP53"
9719,STXBP4,"KRT8, OFD1, RFXANK, TP53"
9720,TBC1D4,"KRT8, NCF2, NFKBIA, POLD1, RECQL4, TP53"
9721,UNK,"KRT8, STAT1"
9722,OSER1,"LACC1, PSMB9, PSMB9, PSMB9"
9723,ATG9B,"LACC1, LACC1, LACC1, MYH9"
9724,LAMTOR4,LAMTOR2
9725,RRAGA,"LAMTOR2, LAMTOR2, LAMTOR2"
9726,SLC18B1,LAMTOR2
9727,100532737,LAMTOR2
9728,55751,"LAMTOR2, NPC1"
9729,PTPRC,"LCK, LYN, PTPRC"
9730,PIK3C2B,LCK
9731,PTK6,LCK
9732,NOS2,"LCK, NOS2, NOS2, NOS2, NOS2, NOS2, NOS2, RAC2"
9733,LTB4R,LCK
9734,DOK2,"LCK, POT1, SRC, STAT3"
9735,FAM166B,"LCK, POU2AF1"
9736,SLC25A18,LCK
9737,E2F7,"LCK, RC3H1"
9738,RP9,"LCK, OFD1, RIPK1"
9739,UQCRQ,"LCK, NLRP3, RIT1"
9740,BMX,"LCK, RAP1A, STAT3"
9741,CNOT10,"LCK, LYN, RC3H1, RC3H1, RC3H1, RC3H1, RIT1, RPL10"
9742,GOLGA4,"LCK, RAC2, RHOG, RHOH, TP63, TRNT1"
9743,LMTK2,"LCK, LYN"
9744,PHLDB3,LCK
9745,PIH1D1,"LCK, OFD1, POLR3A, PPP1CB, RECQL4, SBF2"
9746,EGLN1,"LCK, SH3KBP1, SH3KBP1, SH3KBP1, SRC, SRC, SRC, TBK1, TET2"
9747,23880,LCP2
9748,SH3RF1,"LCP2, LYN, NAF1, RAC1, RAC1, RAC1, SH3BP2, WIPF1"
9749,169436,LIG1
9750,APLF,LIG4
9751,BTG1,"LIG4, LIG4"
9752,COL1A2,LIG4
9753,CTSK,LIG4
9754,DGUOK,LIG4
9755,PEX10,LIG4
9756,PMS2P1,LIG4
9757,DPP3,"LIG4, PEPD, POT1, TERF2IP, TINF2, UBA1"
9758,B9D1,LIG4
9759,SYCP3,LIG4
9760,WBP1L,LIG4
9761,OGFOD1,"LIG4, TRNT1"
9762,DDX19A,LIG4
9763,ATOSA,LIG4
9764,SEMA4G,"LIG4, TNIP1"
9765,VKORC1,LIG4
9766,80127,"LIG4, LIG4"
9767,ZFAND2A,LIG4
9768,RPS19BP1,"LIG4, PTPN22, RECQL4"
9769,119016,"LIG4, RIT1"
9770,ZNF428,LIG4
9771,201283,LIG4
9772,653188,LIG4
9773,ZSCAN18,"LIG4, MSH2, PARN, PTEN, TERF2IP"
9774,APTX,"LIG4, RBM8A"
9775,GAL3ST2,LIPA
9776,DYRK1B,LPIN2
9777,LPIN1,LPIN2
9778,SMPD2,"LRRC32, LRRC32, PLVAP, PLVAP, PLVAP"
9779,SLC16A10,"LRRC32, LRRC32"
9780,ECE1,"LRRC32, NRAS"
9781,NAGPA,LRRC32
9782,FMOD,"LRRC32, TGFB1"
9783,CNPY3,"LRRC32, TLR8"
9784,TNFRSF10D,"LRRC32, SLC39A7"
9785,100288413,LRRC32
9786,ZNF473,LSM11
9787,GAB3,"LYN, PTPN11, SRC"
9788,CD72,"LYN, SYK"
9789,SH2D1A,"LYN, LYN"
9790,RNF180,"LYN, RAD51"
9791,LNP1,"LYN, LYN"
9792,SH2D3C,LYN
9793,CFAP91,LYN
9794,DTX3,"LYN, NFKBID, XIAP"
9795,ANGPT2,"LYN, THBD"
9796,RIMS2,LYN
9797,CYP4V2,LYN
9798,TGDS,LYN
9799,ERO1A,"LYN, TFRC"
9800,FSD1L,LYN
9801,LRRIQ3,LYN
9802,DENND2C,LYN
9803,50810,"LYN, NOD2, TERF2IP"
9804,TNFSF12,LYN
9805,PRUNE2,LYN
9806,ZNF577,LYN
9807,TFDP3,LYN
9808,SCIMP,LYN
9809,90527,LYN
9810,130271,LYN
9811,ARHGAP19,LYN
9812,246777,"LYN, TP53"
9813,SCG3,LYN
9814,SLC22A16,LYN
9815,MAIP1,"LYN, MAD2L2, MAD2L2, PTPN22, RECQL4, RNF31, UNC93B1"
9816,CDH23,LYN
9817,RGS16,"LYN, SRC"
9818,CD19,"LYN, LYN, PIK3R1, PIK3R1, PLCG2, VAV1, VAV1"
9819,CCDC88C,"LYN, MAPK8"
9820,DMD,"LYN, TERF2"
9821,DZIP1,"LYN, TP53"
9822,9758,"LYN, STK36"
9823,EPHB3,LYN
9824,PHF2,"LYN, RPS24"
9825,REXO4,"LYN, RC3H1, RPL15, RPL18, RPL18, RPL19, RPL36, RPS10, RPS14, RPS14, RPS19, RPS24"
9826,BRD2,"LYN, TERF2"
9827,TNNI3,LYST
9828,PCBP4,LYST
9829,VTA1,"LYST, LZTR1"
9830,DNAJC14,"LYST, TNFSF12"
9831,EFS,"LYST, NF1, SRC, SRC"
9832,ZNF521,LYST
9833,CELF4,LYST
9834,55761,LYZ
